DocType: Accounting Period,Period Name,期间名称
apps/erpnext/erpnext/education/utils.py +19,This {0} conflicts with {1} for {2} {3},此{0}冲突{1}在{2} {3}
DocType: Student Attendance Tool,Students HTML,学生HTML
apps/erpnext/erpnext/hr/doctype/employee_transfer/employee_transfer.py +53,"Please delete the Employee <a href=""#Form/Employee/{0}"">{0}</a>\					to cancel this document","请删除员工<a href=""#Form/Employee/{0}"">{0}</a> \以取消此单据"
DocType: POS Profile,Apply Discount,应用折扣
DocType: GST HSN Code,GST HSN Code,GST HSN代码
DocType: Employee External Work History,Total Experience,总经验
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html +70,Open Projects,未结案项目
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.py +297,Packing Slip(s) cancelled,装箱单（ S）取消
apps/erpnext/erpnext/accounts/report/cash_flow/cash_flow.py +90,Cash Flow from Investing,投资现金流
DocType: Program Course,Program Course,课程分类课程
DocType: Healthcare Service Unit,Allow Appointments,允许约会
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py +106,Freight and Forwarding Charges,货运及转运费用
DocType: Homepage,Company Tagline for website homepage,公司主页上展示的品牌理念
DocType: Item Group,Item Group Name,物料组名称
apps/erpnext/erpnext/hr/report/employee_leave_balance/employee_leave_balance.py +28,Taken,已使用
DocType: Student,Date of Leaving,离开日期
DocType: Pricing Rule,For Price List,价格表
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py +27,Executive Search,猎头
DocType: Employee Advance,HR-EAD-.YYYY.-,HR-EAD-.YYYY.-
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py +55,Setting defaults,设置默认值
DocType: Loyalty Program,Auto Opt In (For all customers),新客户默认积分方案（适用于所有客户）
apps/erpnext/erpnext/utilities/activation.py +63,Create Leads,创建线索
DocType: Maintenance Schedule,Schedules,计划任务
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js +515,POS Profile is required to use Point-of-Sale,使用销售点功能请先定义销售点配置文件
DocType: Cashier Closing,Net Amount,净额
apps/erpnext/erpnext/stock/doctype/material_request/material_request.py +143,{0} {1} has not been submitted so the action cannot be completed,{0} {1}尚未提交，因此无法完成此操作
DocType: Purchase Order Item Supplied,BOM Detail No,物料清单编号
DocType: Landed Cost Voucher,Additional Charges,附加费用
DocType: Support Search Source,Result Route Field,结果路径字段
DocType: Supplier,PAN,PAN
DocType: Purchase Invoice,Additional Discount Amount (Company Currency),额外折扣金额（公司货币）
DocType: Supplier Scorecard,Supplier Scorecard,供应商记分卡
DocType: Plant Analysis,Result Datetime,结果日期时间
,Support Hour Distribution,售后支持时间分布
DocType: Maintenance Visit,Maintenance Visit,维护巡修
DocType: Student,Leaving Certificate Number,毕业证书号码
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py +100,"Appointment cancelled, Please review and cancel the invoice {0}",预约已取消，请查看并取消发票{0}
DocType: Sales Invoice Item,Available Batch Qty at Warehouse,仓库内可用批号数量
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js +9,Update Print Format,更新打印格式
DocType: Bank Account,Is Company Account,是公司帐户
apps/erpnext/erpnext/hr/doctype/leave_encashment/leave_encashment.py +58,Leave Type {0} is not encashable,休假类型{0}不可折现
DocType: Landed Cost Voucher,Landed Cost Help,采购费用帮助
DocType: Vehicle Log,HR-VLOG-.YYYY.-,HR-VLOG，.YYYY.-
DocType: Purchase Invoice,Select Shipping Address,选择送货地址
DocType: Timesheet Detail,Expected Hrs,预计工时
apps/erpnext/erpnext/config/non_profit.py +28,Memebership Details,Memebership细节
DocType: Leave Block List,Block Holidays on important days.,将重要日期设为禁止休假日。
apps/erpnext/erpnext/healthcare/doctype/lab_test/lab_test.js +194,Please input all required Result Value(s),请输入所有必需的结果值（s）
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js +119,Accounts Receivable Summary,应收账款汇总
DocType: POS Closing Voucher,Linked Invoices,发票
DocType: Loan,Monthly Repayment Amount,每月还款额
apps/erpnext/erpnext/accounts/doctype/opening_invoice_creation_tool/opening_invoice_creation_tool_dashboard.html +9,Opening Invoices,待创建发票
DocType: Contract,Contract Details,合同信息
DocType: Employee,Leave Details,休假信息
apps/erpnext/erpnext/hr/doctype/employee/employee.py +211,Please set User ID field in an Employee record to set Employee Role,请在员工主数据里设置用户ID字段来分派员工角色
DocType: UOM,UOM Name,单位名称
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py +234,To Address 1,致地址1
DocType: GST HSN Code,HSN Code,HSN代码
apps/erpnext/erpnext/selling/report/sales_person_wise_transaction_summary/sales_person_wise_transaction_summary.py +40,Contribution Amount,贡献金额
DocType: Inpatient Record,Patient Encounter,患者看诊
DocType: Purchase Invoice,Shipping Address,送货地址
DocType: Stock Reconciliation,This tool helps you to update or fix the quantity and valuation of stock in the system. It is typically used to synchronise the system values and what actually exists in your warehouses.,此工具可帮助您更新或修复系统中的库存数量和金额。它通常被用于同步系统值和实际存在于您的仓库。
DocType: Delivery Note,In Words will be visible once you save the Delivery Note.,大写金额将在销售出货单保存后显示。
apps/erpnext/erpnext/erpnext_integrations/utils.py +22,Unverified Webhook Data,未经验证的Webhook数据
DocType: Water Analysis,Container,容器
apps/erpnext/erpnext/education/utils.py +50,Student {0} - {1} appears Multiple times in row {2} & {3},学生{0}  -  {1}出现连续中多次{2}和{3}
DocType: Item Alternative,Two-way,双向
DocType: Project,Day to Send,发送日
DocType: Healthcare Settings,Manage Sample Collection,管理样品收集
DocType: Production Plan,Ignore Existing Ordered Quantity,忽略现有已采购数量
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py +73,Please set the series to be used.,请设置要使用的系统流水号。
DocType: Patient,Tobacco Past Use,之前吸烟情况
DocType: Travel Itinerary,Mode of Travel,交通方式
DocType: Sales Invoice Item,Brand Name,品牌名称
DocType: Purchase Receipt,Transporter Details,物流信息
apps/erpnext/erpnext/accounts/page/pos/pos.js +2713,Default warehouse is required for selected item,没有为选中的物料定义默认仓库
apps/erpnext/erpnext/utilities/user_progress.py +146,Box,箱
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.js +1025,Possible Supplier,潜在供应商
DocType: Budget,Monthly Distribution,月度分摊
apps/erpnext/erpnext/selling/doctype/sms_center/sms_center.py +68,Receiver List is empty. Please create Receiver List,接收人列表为空。请创建接收人列表
apps/erpnext/erpnext/public/js/setup_wizard.js +31,Healthcare (beta),医疗保健（beta）
DocType: Production Plan Sales Order,Production Plan Sales Order,生产计划销售订单
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py +419,No active BOM found for item {0}. Delivery by \						Serial No cannot be ensured,未找到物料{0}的有效BOM。无法确保按序列号出货
DocType: Sales Partner,Sales Partner Target,销售合作伙伴目标
DocType: Loan Type,Maximum Loan Amount,最高贷款额度
DocType: Pricing Rule,Pricing Rule,定价规则
apps/erpnext/erpnext/education/doctype/student_group/student_group.py +58,Duplicate roll number for student {0},学生{0}的班级内学号重复
apps/erpnext/erpnext/config/learn.py +197,Material Request to Purchase Order,从物料需求到采购订单
DocType: Shopping Cart Settings,Payment Success URL,付款成功URL
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py +79,Row # {0}: Returned Item {1} does not exists in {2} {3},行＃{0}：被退货物料{1}在{2} {3} 中不存在
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py +16,Bank Accounts,银行账户
,Bank Reconciliation Statement,银行对帐单
DocType: Patient Encounter,Medical Coding,医学编码
DocType: Healthcare Settings,Reminder Message,提醒信息
,Lead Name,线索姓名
,POS,POS
DocType: C-Form,III,III
apps/erpnext/erpnext/config/stock.py +317,Opening Stock Balance,期初存货余额
DocType: Asset Category Account,Capital Work In Progress Account,在途资本科目
apps/erpnext/erpnext/assets/doctype/asset/asset.js +92,Asset Value Adjustment,资产价值调整
DocType: Additional Salary,Payroll Date,工资日期
apps/erpnext/erpnext/stock/doctype/item_attribute/item_attribute.py +58,{0} must appear only once,{0}只能出现一次
apps/erpnext/erpnext/hr/doctype/leave_control_panel/leave_control_panel.py +59,Leaves Allocated Successfully for {0},已成功为{0}分配假期
apps/erpnext/erpnext/stock/doctype/packing_slip/packing_slip.py +42,No Items to pack,未选择需打包物料
DocType: Shipping Rule Condition,From Value,起始值
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py +721,Manufacturing Quantity is mandatory,请填写生产数量
DocType: Loan,Repayment Method,还款方式
DocType: Products Settings,"If checked, the Home page will be the default Item Group for the website",如果选中，网站主页将默认显示该物料组
DocType: Quality Inspection Reading,Reading 4,检验结果4
apps/erpnext/erpnext/utilities/activation.py +118,"Students are at the heart of the system, add all your students",学生在系统的心脏，添加所有的学生
apps/erpnext/erpnext/non_profit/report/expiring_memberships/expiring_memberships.py +16,Member ID,会员ID
DocType: Employee Tax Exemption Proof Submission,Monthly Eligible Amount,每月合格金额
apps/erpnext/erpnext/accounts/doctype/bank_reconciliation/bank_reconciliation.py +97,Row #{0}: Clearance date {1} cannot be before Cheque Date {2},行＃{0}：清除日期{1}无法支票日期前{2}
DocType: Asset Maintenance Task,Certificate Required,证书
DocType: Company,Default Holiday List,默认假期表
DocType: Pricing Rule,Supplier Group,供应商组
apps/erpnext/erpnext/setup/doctype/email_digest/email_digest.py +61,{0} Digest,{0}统计信息
apps/erpnext/erpnext/projects/doctype/timesheet/timesheet.py +151,Row {0}: From Time and To Time of {1} is overlapping with {2},行{0}：开始时间和结束时间{1}有重叠{2}
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py +152,Stock Liabilities,库存负债
DocType: Purchase Invoice,Supplier Warehouse,供应商仓库
DocType: Opportunity,Contact Mobile No,联系人手机号码
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.js +53,Select Company,选择公司
,Material Requests for which Supplier Quotations are not created,无供应商报价的物料申请
DocType: Student Report Generation Tool,Print Section,打印设置
DocType: Staffing Plan Detail,Estimated Cost Per Position,预估岗位成本
DocType: Employee,HR-EMP-,HR-EMP-
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.py +34,User {0} doesn't have any default POS Profile. Check Default at Row {1} for this User.,用户{0}没有任何默认的POS配置文件。检查此用户的行{1}处的默认值。
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py +189,Employee Referral,员工推荐
DocType: Student Group,Set 0 for no limit,0表示不限数量
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py +191,The day(s) on which you are applying for leave are holidays. You need not apply for leave.,您申请的休假日期是节假日，无需申请休假。
apps/erpnext/erpnext/accounts/doctype/opening_invoice_creation_tool/opening_invoice_creation_tool.py +64,Row {idx}: {field} is required to create the Opening {invoice_type} Invoices,需要行{idx}：{field}才能创建开票{invoice_type}发票
DocType: Customer,Primary Address and Contact Detail,主要地址和联系人信息
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.js +21,Resend Payment Email,重新发送付款电子邮件
apps/erpnext/erpnext/templates/pages/projects.html +27,New task,新任务
DocType: Clinical Procedure,Appointment,预约
apps/erpnext/erpnext/utilities/activation.py +74,Make Quotation,创建报价
apps/erpnext/erpnext/config/education.py +230,Other Reports,其他报表
apps/erpnext/erpnext/public/js/setup_wizard.js +39,Please select at least one domain.,请选择至少一个域名。
DocType: Dependent Task,Dependent Task,相关任务
DocType: Shopify Settings,Shopify Tax Account,Shopify税收科目
apps/erpnext/erpnext/stock/doctype/item/item.py +461,Conversion factor for default Unit of Measure must be 1 in row {0},行{0}中默认单位的转换系数必须是1
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py +258,Leave of type {0} cannot be longer than {1},类型为{0}的假期不能长于{1}天
DocType: Delivery Trip,Optimize Route,优化路线
DocType: Manufacturing Settings,Try planning operations for X days in advance.,尝试将工序提前X天。
apps/erpnext/erpnext/hr/doctype/staffing_plan/staffing_plan.py +90,{0} vacancies and {1} budget for {2} already planned for subsidiary companies of {3}. \				You can only plan for upto {4} vacancies and and budget {5} as per staffing plan {6} for parent company {3}.,已为{3}的子公司计划{2}的{0}空缺和{1}预算。 \根据母公司{3}的员工计划{6}，您只能计划最多{4}个职位空缺和预算{5}。
DocType: HR Settings,Stop Birthday Reminders,停止生日提醒
apps/erpnext/erpnext/hr/doctype/payroll_entry/payroll_entry.py +203,Please set Default Payroll Payable Account in Company {0},请公司设定默认应付职工薪资科目{0}
DocType: Amazon MWS Settings,Get financial breakup of Taxes and charges data by Amazon ,通过亚马逊获取税收和收费数据的财务分解
DocType: SMS Center,Receiver List,接收人列表
apps/erpnext/erpnext/accounts/page/pos/pos.js +1110,Search Item,搜索物料
DocType: Payment Schedule,Payment Amount,付款金额
apps/erpnext/erpnext/hr/doctype/compensatory_leave_request/compensatory_leave_request.py +20,Half Day Date should be in between Work From Date and Work End Date,半天日期应在工作日期和工作结束日期之间
DocType: Healthcare Settings,Healthcare Service Items,医疗服务项目
apps/erpnext/erpnext/stock/report/supplier_wise_sales_analytics/supplier_wise_sales_analytics.py +47,Consumed Amount,消耗量
apps/erpnext/erpnext/accounts/report/cash_flow/cash_flow.py +69,Net Change in Cash,现金净变动
DocType: Assessment Plan,Grading Scale,成绩换算标准
apps/erpnext/erpnext/stock/doctype/item/item.py +455,Unit of Measure {0} has been entered more than once in Conversion Factor Table,单位{0}已经在换算系数表内
apps/erpnext/erpnext/manufacturing/doctype/production_order/production_order.py +617,Already completed,已经完成
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py +34,Stock In Hand,存货
apps/erpnext/erpnext/hr/doctype/employee_benefit_application/employee_benefit_application.py +68,Please add the remaining benefits {0} to the application as \				pro-rata component,请将剩余的福利{0}按比例添加到福利申请中
apps/erpnext/erpnext/hr/doctype/upload_attendance/upload_attendance.js +64,Import Successful!,导入成功！
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py +35,Payment Request already exists {0},付款申请已经存在{0}
apps/erpnext/erpnext/projects/report/project_wise_stock_tracking/project_wise_stock_tracking.py +27,Cost of Issued Items,已发料物料成本
DocType: Healthcare Practitioner,Hospital,医院
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js +534,Quantity must not be more than {0},数量不能超过{0}
DocType: Travel Request Costing,Funded Amount,资助金额
apps/erpnext/erpnext/accounts/report/balance_sheet/balance_sheet.py +120,Previous Financial Year is not closed,上一财年未关闭
DocType: Practitioner Schedule,Practitioner Schedule,医生排班表
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.py +69,Age (Days),时间（天）
DocType: Instructor,EDU-INS-.YYYY.-,EDU-INS-.YYYY.-
DocType: Additional Salary,Additional Salary,额外薪水
DocType: Quotation Item,Quotation Item,报价明细
DocType: Customer,Customer POS Id,客户POS ID
DocType: Account,Account Name,科目名称
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.js +496,From Date cannot be greater than To Date,开始日期不能大于结束日期
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py +203,Serial No {0} quantity {1} cannot be a fraction,序列号{0}的数量{1}不能是分数
apps/erpnext/erpnext/erpnext_integrations/doctype/woocommerce_settings/woocommerce_settings.py +96,Please enter Woocommerce Server URL,请输入Woocommerce服务器网址
DocType: Purchase Order Item,Supplier Part Number,供应商零件编号
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py +132,Conversion rate cannot be 0 or 1,汇率不能为0或1
DocType: Share Balance,To No,至No
apps/erpnext/erpnext/hr/doctype/employee_onboarding/employee_onboarding.py +27,All the mandatory Task for employee creation hasn't been done yet.,尚未全部完成创建新员工时必要任务。
apps/erpnext/erpnext/stock/doctype/material_request/material_request.py +233,{0} {1} is cancelled or stopped,{0} {1}被取消或停止
DocType: Accounts Settings,Credit Controller,信用控制人
DocType: Loan,Applicant Type,申请人类型
DocType: Purchase Invoice,03-Deficiency in services,03-服务质量不达标
DocType: Healthcare Settings,Default Medical Code Standard,默认医疗代码标准
DocType: Purchase Invoice Item,HSN/SAC,HSN / SAC
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py +261,Purchase Receipt {0} is not submitted,采购收货单{0}未提交
DocType: Company,Default Payable Account,默认应付科目
apps/erpnext/erpnext/config/website.py +17,"Settings for online shopping cart such as shipping rules, price list etc.",网上购物车，如配送规则，价格表等的设置
DocType: Purchase Receipt,MAT-PRE-.YYYY.-,MAT-PRE-.YYYY.-
apps/erpnext/erpnext/controllers/website_list_for_contact.py +113,{0}% Billed,{0}％已开票
apps/erpnext/erpnext/stock/report/stock_projected_qty/stock_projected_qty.py +18,Reserved Qty,预留数量
DocType: Party Account,Party Account,往来单位科目
apps/erpnext/erpnext/hr/doctype/staffing_plan/staffing_plan.py +142,Please select Company and Designation,请选择公司和指定
apps/erpnext/erpnext/config/setup.py +116,Human Resources,人力资源
DocType: Lead,Upper Income,高收入
apps/erpnext/erpnext/education/doctype/student_applicant/student_applicant.js +17,Reject,拒绝
DocType: Journal Entry Account,Debit in Company Currency,借方(公司货币)
DocType: BOM Item,BOM Item,BOM物料
DocType: Appraisal,For Employee,员工
DocType: Vital Signs,Full,充分
apps/erpnext/erpnext/hr/doctype/loan/loan.js +69,Make Disbursement Entry,创建贷款放款凭证
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +170,Row {0}: Advance against Supplier must be debit,行{0}：对供应商预付应为借方
DocType: Company,Default Values,默认值
DocType: Certification Application,INR,INR
DocType: Expense Claim,Total Amount Reimbursed,报销金额合计
apps/erpnext/erpnext/hr/doctype/vehicle/vehicle_dashboard.py +5,This is based on logs against this Vehicle. See timeline below for details,基于车辆加油/保养记录。详情请参阅表单下方日志记录
apps/erpnext/erpnext/hr/doctype/additional_salary/additional_salary.py +21,Payroll date can not be less than employee's joining date,工资日期不能低于员工的加入日期
apps/erpnext/erpnext/accounts/doctype/payment_order/payment_order.py +87,{0} {1} created,{0} {1} 已被创建
apps/erpnext/erpnext/hr/doctype/job_opening/job_opening.py +46,Job Openings for designation {0} already open \					or hiring completed as per Staffing Plan {1},还有未完成的职位空缺{0}，或根据招聘计划{1}已招满了
DocType: Vital Signs,Constipated,大便干燥
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py +114,Against Supplier Invoice {0} dated {1},对日期为{1}的供应商发票{0}
DocType: Customer,Default Price List,默认价格表
apps/erpnext/erpnext/assets/doctype/asset/asset.py +483,Asset Movement record {0} created,资产移动记录{0}创建
apps/erpnext/erpnext/utilities/page/leaderboard/leaderboard.js +175,No items found.,未找到任何项目。
apps/erpnext/erpnext/accounts/doctype/fiscal_year/fiscal_year.py +51,You cannot delete Fiscal Year {0}. Fiscal Year {0} is set as default in Global Settings,您不能删除财年{0}。财年{0}被设置为默认的全局设置
DocType: Share Transfer,Equity/Liability Account,权益/负债科目
apps/erpnext/erpnext/setup/doctype/customer_group/customer_group.py +20,A customer with the same name already exists,已存在同名客户
DocType: Contract,Inactive,失效
apps/erpnext/erpnext/hr/doctype/payroll_entry/payroll_entry.js +224,This will submit Salary Slips and create accrual Journal Entry. Do you want to proceed?,这将提交工资单，并创建权责发生制日记账分录。你想继续吗？
DocType: Purchase Invoice,Total Net Weight,总净重
DocType: Purchase Order,Order Confirmation No,订单确认号
DocType: Purchase Invoice,Eligibility For ITC,适用于ITC的资格
DocType: Student Applicant,EDU-APP-.YYYY.-,EDU-APP-.YYYY.-
DocType: Journal Entry,Entry Type,凭证类型
,Customer Credit Balance,客户贷方余额
apps/erpnext/erpnext/accounts/report/cash_flow/cash_flow.py +82,Net Change in Accounts Payable,应付账款净额变化
apps/erpnext/erpnext/selling/doctype/customer/customer.py +256,Credit limit has been crossed for customer {0} ({1}/{2}),客户{0}（{1} / {2}）的信用额度已超过
apps/erpnext/erpnext/setup/doctype/authorization_rule/authorization_rule.py +42,Customer required for 'Customerwise Discount',”客户折扣“需要指定客户
apps/erpnext/erpnext/config/accounts.py +163,Update bank payment dates with journals.,用会计凭证更新银行付款时间
apps/erpnext/erpnext/stock/doctype/item/item_dashboard.py +21,Pricing,定价
DocType: Quotation,Term Details,条款信息
DocType: Employee Incentive,Employee Incentive,员工激励
apps/erpnext/erpnext/education/doctype/student_group/student_group.py +30,Cannot enroll more than {0} students for this student group.,注册数量已超过班级限额{0}
apps/erpnext/erpnext/templates/print_formats/includes/total.html +4,Total (Without Tax),总计（不含税）
apps/erpnext/erpnext/crm/report/campaign_efficiency/campaign_efficiency.py +17,Lead Count,线索数量
apps/erpnext/erpnext/stock/report/item_price_stock/item_price_stock.py +36,Stock Available,可用库存
DocType: Manufacturing Settings,Capacity Planning For (Days),产能计划期限（天）
apps/erpnext/erpnext/buying/doctype/supplier/supplier_dashboard.py +10,Procurement,采购
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py +67,None of the items have any change in quantity or value.,物料数量或金额无任何变化。
apps/erpnext/erpnext/education/doctype/program_enrollment_tool/program_enrollment_tool.py +22,Mandatory field - Program,必填字段 -课程分类
DocType: Special Test Template,Result Component,结果组件
apps/erpnext/erpnext/maintenance/doctype/maintenance_visit/maintenance_visit.js +46,Warranty Claim,保修申请
,Lead Details,线索信息
DocType: Volunteer,Availability and Skills,可用性和技能
DocType: Salary Slip,Loan repayment,偿还借款
DocType: Share Transfer,Asset Account,资产科目
DocType: Purchase Invoice,End date of current invoice's period,当前发票周期的结束日期
DocType: Pricing Rule,Applicable For,适用于
DocType: Lab Test,Technician Name,技术员姓名
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py +411,Cannot ensure delivery by Serial No as \					Item {0} is added with and without Ensure Delivery by \					Serial No.,无法确保按序列号出货，因为\已添加的物料{0}没有定义启用序列号
DocType: Accounts Settings,Unlink Payment on Cancellation of Invoice,取消发票时去掉关联的付款
apps/erpnext/erpnext/hr/doctype/vehicle_log/vehicle_log.py +16,Current Odometer reading entered should be greater than initial Vehicle Odometer {0},录入的当前里程表读数应该比车辆初始里程表{0}读数大
DocType: Restaurant Reservation,No Show,没有出现
DocType: Shipping Rule Country,Shipping Rule Country,出货规则国家
apps/erpnext/erpnext/hr/doctype/employee/employee_dashboard.py +10,Leave and Attendance,休假和考勤
DocType: Asset,Comprehensive Insurance,综合保险
DocType: Maintenance Visit,Partially Completed,部分完成
apps/erpnext/erpnext/selling/doctype/customer/customer.js +114,Loyalty Point: {0},积分：{0}
apps/erpnext/erpnext/healthcare/setup.py +189,Moderate Sensitivity,中等敏感度
DocType: Leave Type,Include holidays within leaves as leaves,包括休假期间的节假日
DocType: Loyalty Program,Redemption,积分兑换
DocType: Sales Invoice,Packed Items,已打包物料
DocType: Tax Withholding Category,Tax Withholding Rates,代扣税款税率
DocType: Contract,Contract Period,合同期
apps/erpnext/erpnext/config/support.py +27,Warranty Claim against Serial No.,针对序列号提出的保修申请
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.html +215,'Total',&#39;总&#39;
DocType: Employee,Permanent Address,永久地址
DocType: Loyalty Program,Collection Tier,积分规则等级
apps/erpnext/erpnext/hr/utils.py +156,From date can not be less than employee's joining date,开始日期不得早于员工的加入日期
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +292,Advance paid against {0} {1} cannot be greater \						than Grand Total {2},针对{0} {1}的预付不得超过总计{2}
DocType: Patient,Medication,药物治疗
DocType: Production Plan,Include Non Stock Items,包含非库存物料
DocType: Project Update,Challenging/Slow,具有挑战性/慢
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py +147,Please select item code,请选择物料代码
DocType: Student Sibling,Studying in Same Institute,就读于同一研究所
DocType: Leave Type,Earned Leave,年假
DocType: Employee,Salary Details,薪资信息
DocType: Territory,Territory Manager,区域经理
DocType: Packed Item,To Warehouse (Optional),收料仓（可选）
DocType: GST Settings,GST Accounts,GST科目
DocType: Payment Entry,Paid Amount (Company Currency),已付金额（公司货币）
DocType: Purchase Invoice,Additional Discount,额外折扣
DocType: Selling Settings,Selling Settings,销售设置
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py +39,Online Auctions,网上拍卖
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py +101,Please specify either Quantity or Valuation Rate or both,请输入数量或（和）成本价
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order_dashboard.py +18,Fulfillment,订单履行
apps/erpnext/erpnext/templates/generators/item.html +101,View in Cart,查看你的购物车
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py +110,Marketing Expenses,市场营销费用
,Item Shortage Report,缺料报表
apps/erpnext/erpnext/education/doctype/assessment_criteria/assessment_criteria.py +15,Can't create standard criteria. Please rename the criteria,无法创建标准条件。请重命名标准
apps/erpnext/erpnext/stock/doctype/item/item.js +342,"Weight is mentioned,\nPlease mention ""Weight UOM"" too",重量被提及，\n请注明“重量单位”
DocType: Stock Entry Detail,Material Request used to make this Stock Entry,创建此库存移动的物料申请
DocType: Hub User,Hub Password,集线器密码
DocType: Student Group Creation Tool,Separate course based Group for every Batch,在班级中按批报课
DocType: Student Group Creation Tool,Separate course based Group for every Batch,在班级中按批报课
apps/erpnext/erpnext/config/support.py +32,Single unit of an Item.,此物料的一件。
DocType: Fee Category,Fee Category,收费类别
DocType: Agriculture Task,Next Business Day,下一个营业日
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application_dashboard.html +3,Allocated Leaves,已分配休假天数
DocType: Drug Prescription,Dosage by time interval,剂量按时间间隔
DocType: Cash Flow Mapper,Section Header,节标题
,Student Fee Collection,欠费清单
apps/erpnext/erpnext/healthcare/doctype/practitioner_schedule/practitioner_schedule.js +24,Appointment Duration (mins),预约时间（分钟）
DocType: Accounts Settings,Make Accounting Entry For Every Stock Movement,为每个库存变动创建会计分录
DocType: Leave Allocation,Total Leaves Allocated,总已分配休假
apps/erpnext/erpnext/public/js/setup_wizard.js +146,Please enter valid Financial Year Start and End Dates,请输入有效的财年开始和结束日期
DocType: Employee,Date Of Retirement,退休日期
DocType: Upload Attendance,Get Template,获取模板
DocType: Additional Salary Component,Additional Salary Component,额外薪资构成项
DocType: Material Request,Transferred,转入
DocType: Vehicle,Doors,车门数
apps/erpnext/erpnext/setup/setup_wizard/operations/defaults_setup.py +114,ERPNext Setup Complete!,ERPNext设置完成！
DocType: Healthcare Settings,Collect Fee for Patient Registration,收挂号费
apps/erpnext/erpnext/stock/doctype/item/item.py +717,Cannot change Attributes after stock transaction. Make a new Item and transfer stock to the new Item,已有库存移动交易后不能更改物料的属性。请创建一个新物料并将库存转移到新物料
DocType: Course Assessment Criteria,Weightage,权重
DocType: Purchase Invoice,Tax Breakup,税费明细
DocType: Employee,Joining Details,入职信息
DocType: Member,Non Profit Member,非盈利会员
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +67,{0} {1}: Cost Center is required for 'Profit and Loss' account {2}. Please set up a default Cost Center for the Company.,{0} {1}：损益类科目分录中成本中心信息必填{2}。请为公司设置一个默认成本中心。
DocType: Payment Schedule,Payment Term,付款条款
apps/erpnext/erpnext/selling/doctype/customer/customer.py +175,A Customer Group exists with same name please change the Customer name or rename the Customer Group,同名的客户组已经存在，请更改客户姓名或重命名该客户组
DocType: Location,Area,区
apps/erpnext/erpnext/public/js/templates/contact_list.html +37,New Contact,新联系人
DocType: Company,Company Description,公司介绍
DocType: Territory,Parent Territory,上一级区域
DocType: Purchase Invoice,Place of Supply,供货地点
DocType: Quality Inspection Reading,Reading 2,检验结果2
